"id";"tahun";"kode";"nama";"nama_singkatan";"aktif";"created_by";"created_at";"updated_by";"updated_at"
11;2022;11;ACEH;;true;init;2024-09-03 07:35:17.660;;
12;2022;12;SUMATERA UTARA;;true;init;2024-09-03 07:35:17.660;;
13;2022;13;SUMATERA BARAT;;true;init;2024-09-03 07:35:17.660;;
14;2022;14;RIAU;;true;init;2024-09-03 07:35:17.660;;
15;2022;15;JAMBI;;true;init;2024-09-03 07:35:17.660;;
16;2022;16;SUMATERA SELATAN;;true;init;2024-09-03 07:35:17.660;;
17;2022;17;BENGKULU;;true;init;2024-09-03 07:35:17.660;;
18;2022;18;LAMPUNG;;true;init;2024-09-03 07:35:17.660;;
19;2022;19;KEPULAUAN BANGKA BELITUNG;;true;init;2024-09-03 07:35:17.660;;
21;2022;21;KEPULAUAN RIAU;;true;init;2024-09-03 07:35:17.660;;
31;2022;31;DKI JAKARTA;;true;init;2024-09-03 07:35:17.660;;
32;2022;32;JAWA BARAT;;true;init;2024-09-03 07:35:17.660;;
33;2022;33;JAWA TENGAH;;true;init;2024-09-03 07:35:17.660;;
34;2022;34;DAERAH ISTIMEWA YOGYAKARTA;;true;init;2024-09-03 07:35:17.660;;
35;2022;35;JAWA TIMUR;;true;init;2024-09-03 07:35:17.660;;
36;2022;36;BANTEN;;true;init;2024-09-03 07:35:17.660;;
51;2022;51;BALI;;true;init;2024-09-03 07:35:17.660;;
52;2022;52;NUSA TENGGARA BARAT;;true;init;2024-09-03 07:35:17.660;;
53;2022;53;NUSA TENGGARA TIMUR;;true;init;2024-09-03 07:35:17.660;;
61;2022;61;KALIMANTAN BARAT;;true;init;2024-09-03 07:35:17.660;;
62;2022;62;KALIMANTAN TENGAH;;true;init;2024-09-03 07:35:17.660;;
63;2022;63;KALIMANTAN SELATAN;;true;init;2024-09-03 07:35:17.660;;
64;2022;64;KALIMANTAN TIMUR;;true;init;2024-09-03 07:35:17.660;;
65;2022;65;KALIMANTAN UTARA;;true;init;2024-09-03 07:35:17.660;;
71;2022;71;SULAWESI UTARA;;true;init;2024-09-03 07:35:17.660;;
72;2022;72;SULAWESI TENGAH;;true;init;2024-09-03 07:35:17.660;;
73;2022;73;SULAWESI SELATAN;;true;init;2024-09-03 07:35:17.660;;
74;2022;74;SULAWESI TENGGARA;;true;init;2024-09-03 07:35:17.660;;
75;2022;75;GORONTALO;;true;init;2024-09-03 07:35:17.660;;
76;2022;76;SULAWESI BARAT;;true;init;2024-09-03 07:35:17.660;;
81;2022;81;MALUKU;;true;init;2024-09-03 07:35:17.660;;
82;2022;82;MALUKU UTARA;;true;init;2024-09-03 07:35:17.660;;
91;2022;91;PAPUA;;true;init;2024-09-03 07:35:17.660;;
92;2022;92;PAPUA BARAT;;true;init;2024-09-03 07:35:17.660;;
93;2022;93;PAPUA SELATAN;;true;init;2024-09-03 07:35:17.660;;
94;2022;94;PAPUA TENGAH;;true;init;2024-09-03 07:35:17.660;;
95;2022;95;PAPUA PEGUNUNGAN;;true;init;2024-09-03 07:35:17.660;;
98;2022;92;PAPUA PEGUNUNGAN;;true;init;2024-09-03 07:35:17.660;;
